# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.totalTimeIndexersSleptMs,1736242480565000000,1736242540768000000,0
Indexes.allKeys.lookupDuration90PMs,1736242480565000000,1736242540768000000,0.0
Indexes.allKeys.lookups,1736242480565000000,1736242540768000000,0
Indexes.entries.lookupDurationAvgMs,1736242480565000000,1736242540768000000,0.0
Indexing.cache.totalCacheAccesses,1736242480565000000,1736242540768000000,0
Indexes.allKeys.lookupDurationMaxMs,1736242480565000000,1736242540768000000,0.0
Indexes.stubs.lookups,1736242480565000000,1736242540768000000,0
Indexes.entries.lookups,1736242480565000000,1736242540768000000,4
Indexing.writer_0.totalTimeSpentWritingMs,1736242480565000000,1736242540768000000,0
Indexing.writesQueuedMax,1736242480565000000,1736242540768000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1736242480565000000,1736242540768000000,0
IndexesFlusher.totalFlushesRetried,1736242480565000000,1736242540768000000,3
Indexing.writesQueuedMin,1736242480565000000,1736242540768000000,9223372036854775807
Indexing.cache.totalCacheEvicted,1736242480565000000,1736242540768000000,0
Indexes.entries.lookupDuration90PMs,1736242480565000000,1736242540768000000,0.0
Indexes.entries.lookupDurationMaxMs,1736242480565000000,1736242540768000000,0.0
Indexes.stubs.lookupDuration90PMs,1736242480565000000,1736242540768000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1736242480565000000,1736242540768000000,0.0
Indexing.cache.totalCacheMisses,1736242480565000000,1736242540768000000,0
IndexesFlusher.totalFlushes,1736242480565000000,1736242540768000000,62
IndexesFlusher.totalFlushingTimeUs,1736242480565000000,1736242540768000000,321186
Indexing.writer_2.totalTimeSpentWritingMs,1736242480565000000,1736242540768000000,0
Indexes.stubs.lookupDurationMaxMs,1736242480565000000,1736242540768000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1736242480565000000,1736242540768000000,0
Indexes.stubs.lookupDurationAvgMs,1736242480565000000,1736242540768000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1736242480565000000,1736242540768000000,87
workspaceModel.to.snapshot.ms,1736242480565000000,1736242540768000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1736242480565000000,1736242540768000000,0
workspaceModel.cachedValue.calculated.count,1736242480565000000,1736242540768000000,249
workspaceModel.initializing.ms,1736242480565000000,1736242540768000000,31
workspaceModel.cachedValue.total.get.count,1736242480565000000,1736242540768000000,5608
workspaceModel.workspaceFileIndexData.markDirty.ms,1736242480565000000,1736242540768000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1736242480565000000,1736242540768000000,2
workspaceModel.updates.ms,1736242480565000000,1736242540768000000,85
workspaceModel.collect.changes.ms,1736242480565000000,1736242540768000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1736242480565000000,1736242540768000000,3305
workspaceModel.pre.handlers.ms,1736242480565000000,1736242540768000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1736242480565000000,1736242540768000000,2
workspaceModel.check.recursive.update.ms,1736242480565000000,1736242540768000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1736242480565000000,1736242540768000000,0
workspaceModel.cachedValue.from.cache.count,1736242480565000000,1736242540768000000,5359
workspaceModel.loading.from.cache.ms,1736242480565000000,1736242540768000000,303
workspaceModel.workspaceFileIndexData.init.ms,1736242480565000000,1736242540768000000,302
workspaceModel.workspaceFileIndexData.getPackageName.ms,1736242480565000000,1736242540768000000,0
workspaceModel.update.unloaded.entities.ms,1736242480565000000,1736242540768000000,0
workspaceModel.init.bridges.ms,1736242480565000000,1736242540768000000,32
workspaceModel.cachedValueWithParameters.calculated.count,1736242480565000000,1736242540768000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1736242480565000000,1736242540768000000,17
workspaceModel.loading.total.ms,1736242480565000000,1736242540768000000,319
workspaceModel.cachedValueWithParameters.clear.count,1736242480565000000,1736242540768000000,0
workspaceModel.cachedValue.clear.count,1736242480565000000,1736242540768000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1736242480565000000,1736242540768000000,0
workspaceModel.updates.precise.ms,1736242480565000000,1736242540768000000,13
workspaceModel.workspaceFileIndexData.instances.count,1736242480565000000,1736242540768000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1736242480565000000,1736242540768000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1736242480565000000,1736242540768000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1736242480565000000,1736242540768000000,590
workspaceModel.full.replace.project.model.ms,1736242480565000000,1736242540768000000,10
workspaceModel.on.before.changed.ms,1736242480565000000,1736242540768000000,22
workspaceModel.replace.project.model.ms,1736242480565000000,1736242540768000000,0
workspaceModel.on.changed.ms,1736242480565000000,1736242540768000000,23
workspaceModel.updates.count,1736242480565000000,1736242540768000000,4
FilePageCache.pageFastCacheHits,1736242480565000000,1736242540768000000,15845
FilePageCacheLockFree.totalPagesWriteMs,1736242480565000000,1736242540768000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1736242480565000000,1736242540768000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1736242480565000000,1736242540768000000,205537280
StreamlinedBlobStorage.recordsAllocated,1736242480565000000,1736242540768000000,78722
FilePageCache.maxCacheSizeInBytes,1736242480565000000,1736242540768000000,205537280
FilePageCache.maxRegisteredFiles,1736242480565000000,1736242540768000000,532
FilePageCache.totalPageLoadsUs,1736242480565000000,1736242540768000000,470184
StorageLockContext.competingThreads.90P,1736242480565000000,1736242540768000000,0
FilePageCache.disposedBuffers,1736242480565000000,1736242540768000000,3
FilePageCacheLockFree.housekeeperTurnsDone,1736242480565000000,1736242540768000000,0
DirectByteBufferAllocator.reclaimed,1736242480565000000,1736242540768000000,3
FilePageCacheLockFree.nativeBytesInUse,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalPagesRequested,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalPagesWritten,1736242480565000000,1736242540768000000,0
FilePageCache.pageHits,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalPagesReclaimed,1736242480565000000,1736242540768000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.heapBytesInUse,1736242480565000000,1736242540768000000,0
DirectByteBufferAllocator.misses,1736242480565000000,1736242540768000000,198
FilePageCacheLockFree.totalHeapBytesReclaimed,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalPagesAllocated,1736242480565000000,1736242540768000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1736242480565000000,1736242540768000000,1079725
StorageLockContext.competingThreads.avg,1736242480565000000,1736242540768000000,0.0
StorageLockContext.competingThreads.max,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalBytesWritten,1736242480565000000,1736242540768000000,0
DirectByteBufferAllocator.disposed,1736242480565000000,1736242540768000000,0
DirectByteBufferAllocator.hits,1736242480565000000,1736242540768000000,3
FilePageCache.capacityInBytes,1736242480565000000,1736242540768000000,503316478
FilePageCache.totalPageDisposalsUs,1736242480565000000,1736242540768000000,1936
StreamlinedBlobStorage.recordsRelocated,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1736242480565000000,1736242540768000000,0
FilePageCache.pageLoads,1736242480565000000,1736242540768000000,201
FilePageCacheLockFree.totalBytesRequested,1736242480565000000,1736242540768000000,0
StreamlinedBlobStorage.recordsDeleted,1736242480565000000,1736242540768000000,7
FilePageCache.pageLoadsAboveSizeThreshold,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalPagesHandedOver,1736242480565000000,1736242540768000000,0
MappedFileStorage.totalBytesMapped,1736242480565000000,1736242540768000000,173277184
FilePageCacheLockFree.totalNativeBytesAllocated,1736242480565000000,1736242540768000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1736242480565000000,1736242540768000000,5563871
MappedFileStorage.storages,1736242480565000000,1736242540768000000,9
FilePageCacheLockFree.totalPageAllocationsWaited,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1736242480565000000,1736242540768000000,0
FilePageCache.uncachedFileAccess,1736242480565000000,1736242540768000000,121
MappedFileStorage.totalPagesMapped,1736242480565000000,1736242540768000000,9
FilePageCacheLockFree.totalNativeBytesReclaimed,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalBytesRead,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalPagesReadMs,1736242480565000000,1736242540768000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1736242480565000000,1736242540768000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1736242480565000000,1736242540768000000,26746
FilePageCacheLockFree.housekeeperTimeSpentMs,1736242480565000000,1736242540768000000,0
cacheStateStorage.set.counter,1736242480565000000,1736242540768000000,5
cacheStateStorage.get.counter,1736242480565000000,1736242540768000000,484
cacheStateStorage.get.duration,1736242480565000000,1736242540768000000,89
cacheStateStorage.set.duration,1736242480565000000,1736242540768000000,39
VFS.fileChildByName,1736242480565000000,1736242540768000000,17700
VFS.contentStorage.recordsDecompressionTimeUs,1736242480565000000,1736242540768000000,2610
VFS.fileByIdCache.misses,1736242480565000000,1736242540768000000,620
FileNameCache.queries,1736242480565000000,1736242540768000000,1893696
VFS.invertedFileNameIndex.requests,1736242480565000000,1736242540768000000,0
VFS.contentStorage.recordsUncompressedSize,1736242480565000000,1736242540768000000,0
VFS.contentStorage.recordsRead,1736242480565000000,1736242540768000000,8
FileNameCache.totalMisses,1736242480565000000,1736242540768000000,127296
VFS.contentStorage.recordsStoredCompressed,1736242480565000000,1736242540768000000,0
VFS.contentStorage.recordsReadSize,1736242480565000000,1736242540768000000,69216
VFS.fileByIdCache.hits,1736242480565000000,1736242540768000000,0
VFS.contentStorage.recordsStoredSize,1736242480565000000,1736242540768000000,0
VFS.contentStorage.recordsReadDecompressed,1736242480565000000,1736242540768000000,2
VFS.contentStorage.recordsDeduplicated,1736242480565000000,1736242540768000000,0
VFS.contentStorage.recordsStored,1736242480565000000,1736242540768000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1736242480565000000,1736242540768000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1736242480565000000,1736242540768000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1736242480565000000,1736242540768000000,2
compiler.ArtifactManagerBridge.addArtifact.ms,1736242480565000000,1736242540768000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1736242480565000000,1736242540768000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1736242480565000000,1736242540768000000,0
compiler.ArtifactManagerBridge.commit.ms,1736242480565000000,1736242540768000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1736242480565000000,1736242540768000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1736242480565000000,1736242540768000000,0
JVM.totalBytesAllocated,1736242480565000000,1736242540768000000,1399380288
JVM.usedNativeBytes,1736242480565000000,1736242540768000000,289719568
JVM.totalTimeAtSafepointsMs,1736242480565000000,1736242540768000000,306
JVM.newThreadsCount,1736242480565000000,1736242540768000000,110
JVM.GC.collectionTimesMs,1736242480565000000,1736242540768000000,281
JVM.maxThreadCount,1736242480565000000,1736242540768000000,87
JVM.totalTimeToSafepointsMs,1736242480565000000,1736242540768000000,26
JVM.totalSafepointCount,1736242480565000000,1736242540768000000,145
JVM.maxHeapBytes,1736242480565000000,1736242540768000000,2147483648
JVM.usedHeapBytes,1736242480565000000,1736242540768000000,336558488
JVM.totalCpuTimeMs,1736242480565000000,1736242540768000000,65290
JVM.totalDirectByteBuffersBytes,1736242480565000000,1736242540768000000,207600132
JVM.GC.collections,1736242480565000000,1736242540768000000,31
OS.loadAverage,1736242480565000000,1736242540768000000,4.5400390625
JVM.threadCount,1736242480565000000,1736242540768000000,82
writeAction.median.wait.ms,1736242480565000000,1736242540768000000,0
DiskQueryRelay.tasksRequested,1736242480565000000,1736242540768000000,52898
writeAction.wait.ms,1736242480565000000,1736242540768000000,93
writeAction.max.wait.ms,1736242480565000000,1736242540768000000,43
DiskQueryRelay.taskExecutionTotalTimeUs,1736242480565000000,1736242540768000000,1205024
DiskQueryRelay.tasksExecuted,1736242480565000000,1736242540768000000,52898
writeAction.count,1736242480565000000,1736242540768000000,18
DiskQueryRelay.taskWaitingTotalTimeUs,1736242480565000000,1736242540768000000,1576850
ReadAction.executionsCount,1736242480565000000,1736242540768000000,97933
AWTEventQueue.eventsDispatched,1736242480565000000,1736242540768000000,1
FlushQueue.queueSize90P,1736242480565000000,1736242540768000000,0
AWTEventQueue.dispatchTimeMaxNs,1736242480565000000,1736242540768000000,335871
FlushQueue.queueSizeMax,1736242480565000000,1736242540768000000,0
FlushQueue.waitingTimeAvgNs,1736242480565000000,1736242540768000000,257536.0
FlushQueue.tasksExecuted,1736242480565000000,1736242540768000000,1
FlushQueue.queueSizeAvg,1736242480565000000,1736242540768000000,0.0
AWTEventQueue.dispatchTimeAvgNs,1736242480565000000,1736242540768000000,334848.0
NonBlockingReadAction.failedExecutionsCount,1736242480565000000,1736242540768000000,2
NonBlockingReadAction.finalizedExecutionTimeUs,1736242480565000000,1736242540768000000,383745
FlushQueue.executionTime90PNs,1736242480565000000,1736242540768000000,59135
AWTEventQueue.dispatchTimeTotalNS,1736242480565000000,1736242540768000000,6983903716
AWTEventQueue.dispatchTime90PNs,1736242480565000000,1736242540768000000,335871
FlushQueue.waitingTimeMaxNs,1736242480565000000,1736242540768000000,258047
NonBlockingReadAction.finalizedExecutionsCount,1736242480565000000,1736242540768000000,11
FlushQueue.waitingTime90PNs,1736242480565000000,1736242540768000000,258047
FlushQueue.executionTimeAvgNs,1736242480565000000,1736242540768000000,59008.0
WriteAction.executionsCount,1736242480565000000,1736242540768000000,18
FlushQueue.executionTimeMaxNs,1736242480565000000,1736242540768000000,59135
NonBlockingReadAction.failedExecutionTimeUs,1736242480565000000,1736242540768000000,561355
workspaceModel.global.updates.ms,1736242480565000000,1736242540768000000,0
jps.storage.jps.conf.reader.load.component.ms,1736242480565000000,1736242540768000000,28
jps.apply.loaded.storage.ms,1736242480565000000,1736242540768000000,106
workspaceModel.moduleManagerBridge.get.modules.ms,1736242480565000000,1736242540768000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1736242480565000000,1736242540768000000,28
jps.module.iml.entities.serializer.load.entities.ms,1736242480565000000,1736242540768000000,41
workspaceModel.moduleManagerBridge.load.module.ms,1736242480565000000,1736242540768000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1736242480565000000,1736242540768000000,0
workspaceModel.sync.entities.ms,1736242480565000000,1736242540768000000,0
jps.load.project.to.empty.storage.ms,1736242480565000000,1736242540768000000,279
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1736242480565000000,1736242540768000000,9
jps.facet.change.listener.process.change.events.ms,1736242480565000000,1736242540768000000,1
workspaceModel.moduleBridge.before.changed.ms,1736242480565000000,1736242540768000000,0
jps.reload.project.entities.ms,1736242480565000000,1736242540768000000,0
jps.library.entities.serializer.save.entities.ms,1736242480565000000,1736242540768000000,0
jps.save.changed.project.entities.ms,1736242480565000000,1736242540768000000,1
jps.global.initialize.library.bridges.ms,1736242480565000000,1736242540768000000,25
jps.global.initialize.library.bridges.after.loading.ms,1736242480565000000,1736242540768000000,1
jps.project.serializers.save.ms,1736242480565000000,1736242540768000000,1
workspaceModel.mutableEntityStorage.to.snapshot.ms,1736242480565000000,1736242540768000000,4
workspaceModel.moduleManagerBridge.create.module.instance.ms,1736242480565000000,1736242540768000000,0
jps.global.get.libraries.ms,1736242480565000000,1736242540768000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1736242480565000000,1736242540768000000,1
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1736242480565000000,1736242540768000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1736242480565000000,1736242540768000000,0
workspaceModel.do.save.caches.ms,1736242480565000000,1736242540768000000,261
jps.facet.change.listener.init.bridge.ms,1736242480565000000,1736242540768000000,1
workspaceModel.global.apply.state.to.project.builder.ms,1736242480565000000,1736242540768000000,0
jps.global.get.library.by.name.ms,1736242480565000000,1736242540768000000,0
jps.load.initial.state.ms,1736242480565000000,1736242540768000000,15
jps.global.handle.before.change.events.ms,1736242480565000000,1736242540768000000,0
jps.global.get.library.ms,1736242480565000000,1736242540768000000,0
workspaceModel.mutableEntityStorage.instances.count,1736242480565000000,1736242540768000000,30
workspaceModel.moduleBridge.update.option.ms,1736242480565000000,1736242540768000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1736242480565000000,1736242540768000000,91
workspaceModel.moduleManagerBridge.newModule.ms,1736242480565000000,1736242540768000000,0
jps.module.iml.entities.serializer.save.entities.ms,1736242480565000000,1736242540768000000,0
workspaceModel.global.updates.count,1736242480565000000,1736242540768000000,0
jps.library.entities.serializer.load.entities.ms,1736242480565000000,1736242540768000000,76
workspaceModel.moduleManagerBridge.build.module.graph.ms,1736242480565000000,1736242540768000000,2
jps.app.storage.content.writer.save.component.ms,1736242480565000000,1736242540768000000,2
workspaceModel.load.cache.from.file.ms,1736242480565000000,1736242540768000000,296
workspaceModel.orphan.listener.update.ms,1736242480565000000,1736242540768000000,3
workspaceModel.load.cache.metadata.from.file.ms,1736242480565000000,1736242540768000000,27
workspaceModel.moduleBridge.facet.initialization.ms,1736242480565000000,1736242540768000000,1
jps.project.serializers.load.ms,1736242480565000000,1736242540768000000,224
workspaceModel.mutableEntityStorage.entities.ms,1736242480565000000,1736242540768000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1736242480565000000,1736242540768000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1736242480565000000,1736242540768000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1736242480565000000,1736242540768000000,86
workspaceModel.mutableEntityStorage.modify.entity.ms,1736242480565000000,1736242540768000000,21
workspaceModel.mutableEntityStorage.remove.entity.ms,1736242480565000000,1736242540768000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1736242480565000000,1736242540768000000,1
workspaceModel.mutableEntityStorage.referrers.ms,1736242480565000000,1736242540768000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1736242480565000000,1736242540768000000,7
workspaceModel.mutableEntityStorage.add.entity.ms,1736242480565000000,1736242540768000000,122
