# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.get.duration,1736402637534000000,1736402697620000000,158
cacheStateStorage.set.counter,1736402637534000000,1736402697620000000,5
cacheStateStorage.get.counter,1736402637534000000,1736402697620000000,254
cacheStateStorage.set.duration,1736402637534000000,1736402697620000000,49
Indexing.totalTimeIndexersSleptMs,1736402637534000000,1736402697620000000,0
Indexes.stubs.lookupDurationAvgMs,1736402637534000000,1736402697620000000,0.0
Indexes.entries.lookups,1736402637534000000,1736402697620000000,2
Indexing.writer_2.totalTimeSpentWritingMs,1736402637534000000,1736402697620000000,0
IndexesFlusher.totalContentionQuotaSpent,1736402637534000000,1736402697620000000,60
Indexing.writer_1.totalTimeSpentWritingMs,1736402637534000000,1736402697620000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1736402637534000000,1736402697620000000,0
Indexing.writesQueuedMin,1736402637534000000,1736402697620000000,9223372036854775807
Indexes.allKeys.lookupDurationAvgMs,1736402637534000000,1736402697620000000,0.0
Indexing.writesQueuedMax,1736402637534000000,1736402697620000000,0
Indexes.entries.lookupDurationMaxMs,1736402637534000000,1736402697620000000,0.0
Indexes.stubs.lookupDurationMaxMs,1736402637534000000,1736402697620000000,0.0
Indexes.entries.lookupDurationAvgMs,1736402637534000000,1736402697620000000,0.0
IndexesFlusher.totalFlushingTimeUs,1736402637534000000,1736402697620000000,266178
Indexing.writer_0.totalTimeSpentWritingMs,1736402637534000000,1736402697620000000,0
Indexes.allKeys.lookupDuration90PMs,1736402637534000000,1736402697620000000,0.0
Indexes.entries.lookupDuration90PMs,1736402637534000000,1736402697620000000,0.0
Indexes.stubs.lookupDuration90PMs,1736402637534000000,1736402697620000000,0.0
IndexesFlusher.totalFlushes,1736402637534000000,1736402697620000000,61
Indexes.allKeys.lookupDurationMaxMs,1736402637534000000,1736402697620000000,0.0
Indexing.cache.totalCacheMisses,1736402637534000000,1736402697620000000,0
IndexesFlusher.totalFlushesRetried,1736402637534000000,1736402697620000000,2
Indexing.cache.totalCacheEvicted,1736402637534000000,1736402697620000000,0
Indexes.stubs.lookups,1736402637534000000,1736402697620000000,0
Indexes.allKeys.lookups,1736402637534000000,1736402697620000000,0
Indexing.cache.totalCacheAccesses,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1736402637534000000,1736402697620000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1736402637534000000,1736402697620000000,5564081
FilePageCacheLockFree.totalPagesRequested,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1736402637534000000,1736402697620000000,0
FilePageCache.disposedBuffers,1736402637534000000,1736402697620000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1736402637534000000,1736402697620000000,40530
FileChannelInterruptsRetryer.totalRetriedAttempts,1736402637534000000,1736402697620000000,0
FilePageCache.capacityInBytes,1736402637534000000,1736402697620000000,503316478
FilePageCache.totalPageLoadsUs,1736402637534000000,1736402697620000000,565174
FilePageCache.uncachedFileAccess,1736402637534000000,1736402697620000000,123
FilePageCacheLockFree.totalPagesReadMs,1736402637534000000,1736402697620000000,0
StorageLockContext.competingThreads.90P,1736402637534000000,1736402697620000000,0
MappedFileStorage.totalBytesMapped,1736402637534000000,1736402697620000000,177471488
MappedFileStorage.totalPagesMapped,1736402637534000000,1736402697620000000,10
FilePageCacheLockFree.totalPagesRequestsMs,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.totalBytesWritten,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.totalBytesRequested,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.totalPagesReclaimed,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1736402637534000000,1736402697620000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1736402637534000000,1736402697620000000,0
StorageLockContext.competingThreads.max,1736402637534000000,1736402697620000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1736402637534000000,1736402697620000000,1079728
MappedFileStorage.storages,1736402637534000000,1736402697620000000,10
StreamlinedBlobStorage.recordsDeleted,1736402637534000000,1736402697620000000,7
FilePageCacheLockFree.totalPagesWritten,1736402637534000000,1736402697620000000,0
FilePageCache.pageLoads,1736402637534000000,1736402697620000000,201
FilePageCacheLockFree.totalNativeBytesAllocated,1736402637534000000,1736402697620000000,0
StreamlinedBlobStorage.recordsRelocated,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1736402637534000000,1736402697620000000,0
FilePageCache.maxRegisteredFiles,1736402637534000000,1736402697620000000,532
FilePageCacheLockFree.totalPagesAllocated,1736402637534000000,1736402697620000000,0
DirectByteBufferAllocator.reclaimed,1736402637534000000,1736402697620000000,3
FilePageCache.pageFastCacheHits,1736402637534000000,1736402697620000000,15873
FilePageCache.maxCacheSizeInBytes,1736402637534000000,1736402697620000000,205537280
FilePageCacheLockFree.totalClosedStoragesReclaimed,1736402637534000000,1736402697620000000,0
FilePageCache.pageHits,1736402637534000000,1736402697620000000,0
StorageLockContext.competingThreads.avg,1736402637534000000,1736402697620000000,0.0
FilePageCacheLockFree.totalNativeBytesReclaimed,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.totalPagesWriteMs,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1736402637534000000,1736402697620000000,0
DirectByteBufferAllocator.hits,1736402637534000000,1736402697620000000,3
DirectByteBufferAllocator.misses,1736402637534000000,1736402697620000000,198
FilePageCacheLockFree.nativeBytesInUse,1736402637534000000,1736402697620000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1736402637534000000,1736402697620000000,205537280
DirectByteBufferAllocator.disposed,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.totalPagesHandedOver,1736402637534000000,1736402697620000000,0
StreamlinedBlobStorage.recordsAllocated,1736402637534000000,1736402697620000000,78725
FilePageCacheLockFree.heapBytesInUse,1736402637534000000,1736402697620000000,0
FilePageCacheLockFree.totalBytesRead,1736402637534000000,1736402697620000000,0
FilePageCache.totalPageDisposalsUs,1736402637534000000,1736402697620000000,1363
FilePageCache.pageLoadsAboveSizeThreshold,1736402637534000000,1736402697620000000,0
workspaceModel.check.recursive.update.ms,1736402637534000000,1736402697620000000,0
workspaceModel.loading.from.cache.ms,1736402637534000000,1736402697620000000,353
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1736402637534000000,1736402697620000000,2
workspaceModel.initializing.ms,1736402637534000000,1736402697620000000,32
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1736402637534000000,1736402697620000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1736402637534000000,1736402697620000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1736402637534000000,1736402697620000000,596
workspaceModel.full.replace.project.model.ms,1736402637534000000,1736402697620000000,7
workspaceModel.cachedValueWithParameters.clear.count,1736402637534000000,1736402697620000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1736402637534000000,1736402697620000000,0
workspaceModel.updates.ms,1736402637534000000,1736402697620000000,109
workspaceModel.collect.changes.ms,1736402637534000000,1736402697620000000,0
workspaceModel.loading.total.ms,1736402637534000000,1736402697620000000,362
workspaceModel.cachedValue.total.get.count,1736402637534000000,1736402697620000000,4875
workspaceModel.workspaceFileIndexData.markDirty.ms,1736402637534000000,1736402697620000000,0
workspaceModel.on.changed.ms,1736402637534000000,1736402697620000000,39
workspaceModel.updates.precise.ms,1736402637534000000,1736402697620000000,8
workspaceModel.updates.count,1736402637534000000,1736402697620000000,4
workspaceModel.workspaceFileIndexData.processFileSets.ms,1736402637534000000,1736402697620000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1736402637534000000,1736402697620000000,0
