# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.writesQueuedMax,1736237496506000000,1736237556032000000,0
Indexes.entries.lookups,1736237496506000000,1736237556032000000,5
Indexing.writer_3.totalTimeSpentWritingMs,1736237496506000000,1736237556032000000,0
Indexes.entries.lookupDurationAvgMs,1736237496506000000,1736237556032000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1736237496506000000,1736237556032000000,0
Indexes.allKeys.lookupDurationAvgMs,1736237496506000000,1736237556032000000,0.0
Indexes.stubs.lookupDurationMaxMs,1736237496506000000,1736237556032000000,0.0
Indexing.cache.totalCacheMisses,1736237496506000000,1736237556032000000,0
Indexing.totalTimeIndexersSleptMs,1736237496506000000,1736237556032000000,0
Indexes.entries.lookupDurationMaxMs,1736237496506000000,1736237556032000000,0.0
Indexes.stubs.lookups,1736237496506000000,1736237556032000000,0
Indexing.cache.totalCacheAccesses,1736237496506000000,1736237556032000000,0
Indexes.stubs.lookupDurationAvgMs,1736237496506000000,1736237556032000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1736237496506000000,1736237556032000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1736237496506000000,1736237556032000000,0
Indexes.allKeys.lookupDurationMaxMs,1736237496506000000,1736237556032000000,0.0
Indexes.stubs.lookupDuration90PMs,1736237496506000000,1736237556032000000,0.0
Indexing.writesQueuedMin,1736237496506000000,1736237556032000000,9223372036854775807
Indexes.allKeys.lookups,1736237496506000000,1736237556032000000,0
Indexes.entries.lookupDuration90PMs,1736237496506000000,1736237556032000000,0.0
Indexing.cache.totalCacheEvicted,1736237496506000000,1736237556032000000,0
Indexes.allKeys.lookupDuration90PMs,1736237496506000000,1736237556032000000,0.0
jps.global.get.library.ms,1736237496506000000,1736237556032000000,0
jps.artifact.entities.serializer.save.entities.ms,1736237496506000000,1736237556032000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1736237496506000000,1736237556032000000,2
workspaceModel.moduleBridge.before.changed.ms,1736237496506000000,1736237556032000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1736237496506000000,1736237556032000000,0
jps.global.handle.before.change.events.ms,1736237496506000000,1736237556032000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1736237496506000000,1736237556032000000,1
jps.global.get.library.by.name.ms,1736237496506000000,1736237556032000000,0
jps.global.initialize.library.bridges.ms,1736237496506000000,1736237556032000000,1
jps.facet.change.listener.init.bridge.ms,1736237496506000000,1736237556032000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1736237496506000000,1736237556032000000,4
workspaceModel.load.cache.metadata.from.file.ms,1736237496506000000,1736237556032000000,24
workspaceModel.moduleManagerBridge.newModule.ms,1736237496506000000,1736237556032000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1736237496506000000,1736237556032000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1736237496506000000,1736237556032000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1736237496506000000,1736237556032000000,31
jps.app.storage.content.reader.load.component.ms,1736237496506000000,1736237556032000000,0
workspaceModel.mutableEntityStorage.entities.ms,1736237496506000000,1736237556032000000,3
workspaceModel.save.cache.to.file.ms,1736237496506000000,1736237556032000000,376
jps.app.storage.content.writer.save.component.ms,1736237496506000000,1736237556032000000,2
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1736237496506000000,1736237556032000000,0
workspaceModel.mutableEntityStorage.instances.count,1736237496506000000,1736237556032000000,35
workspaceModel.mutableEntityStorage.resolve.ms,1736237496506000000,1736237556032000000,2
jps.save.changed.project.entities.ms,1736237496506000000,1736237556032000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1736237496506000000,1736237556032000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1736237496506000000,1736237556032000000,346
workspaceModel.moduleBridgeLoader.loading.modules.ms,1736237496506000000,1736237556032000000,495
workspaceModel.load.cache.from.file.ms,1736237496506000000,1736237556032000000,235
workspaceModel.global.apply.state.to.project.ms,1736237496506000000,1736237556032000000,6
workspaceModel.mutableEntityStorage.replace.by.source.ms,1736237496506000000,1736237556032000000,178
workspaceModel.global.apply.state.to.project.builder.ms,1736237496506000000,1736237556032000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1736237496506000000,1736237556032000000,0
jps.global.get.libraries.ms,1736237496506000000,1736237556032000000,0
workspaceModel.do.save.caches.ms,1736237496506000000,1736237556032000000,445
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1736237496506000000,1736237556032000000,2
jps.save.global.entities.ms,1736237496506000000,1736237556032000000,69
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1736237496506000000,1736237556032000000,7
workspaceModel.sync.entities.ms,1736237496506000000,1736237556032000000,0
workspaceModel.global.updates.count,1736237496506000000,1736237556032000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1736237496506000000,1736237556032000000,0
jps.load.project.to.empty.storage.ms,1736237496506000000,1736237556032000000,134
jps.storage.jps.conf.reader.load.component.ms,1736237496506000000,1736237556032000000,32
workspaceModel.moduleManagerBridge.build.module.graph.ms,1736237496506000000,1736237556032000000,3
workspaceModel.mutableEntityStorage.add.entity.ms,1736237496506000000,1736237556032000000,96
jps.project.serializers.save.ms,1736237496506000000,1736237556032000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1736237496506000000,1736237556032000000,98
jps.project.serializers.load.ms,1736237496506000000,1736237556032000000,37
jps.facet.change.listener.process.change.events.ms,1736237496506000000,1736237556032000000,4
jps.reload.project.entities.ms,1736237496506000000,1736237556032000000,0
jps.library.entities.serializer.load.entities.ms,1736237496506000000,1736237556032000000,12
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1736237496506000000,1736237556032000000,12
workspaceModel.mutableEntityStorage.has.same.entities.ms,1736237496506000000,1736237556032000000,2
jps.library.entities.serializer.save.entities.ms,1736237496506000000,1736237556032000000,0
workspaceModel.global.updates.ms,1736237496506000000,1736237556032000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1736237496506000000,1736237556032000000,12
workspaceModel.mutableEntityStorage.modify.entity.ms,1736237496506000000,1736237556032000000,74
workspaceModel.moduleManagerBridge.create.module.instance.ms,1736237496506000000,1736237556032000000,0
workspaceModel.orphan.listener.update.ms,1736237496506000000,1736237556032000000,3
jps.facet.change.listener.before.change.events.ms,1736237496506000000,1736237556032000000,0
jps.global.initialize.library.bridges.after.loading.ms,1736237496506000000,1736237556032000000,4
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1736237496506000000,1736237556032000000,2
workspaceModel.moduleBridge.update.option.ms,1736237496506000000,1736237556032000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1736237496506000000,1736237556032000000,2
workspaceModel.mutableEntityStorage.to.snapshot.ms,1736237496506000000,1736237556032000000,5
jps.artifact.entities.serializer.load.entities.ms,1736237496506000000,1736237556032000000,13
jps.load.initial.state.ms,1736237496506000000,1736237556032000000,23
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1736237496506000000,1736237556032000000,0
jps.apply.loaded.storage.ms,1736237496506000000,1736237556032000000,202
jps.global.handle.changed.events.ms,1736237496506000000,1736237556032000000,0
workspaceModel.workspaceFileIndexData.init.ms,1736237496506000000,1736237556032000000,195
workspaceModel.on.changed.ms,1736237496506000000,1736237556032000000,141
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1736237496506000000,1736237556032000000,0
