# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValue.calculated.count,1736231585510000000,1736231645522000000,271
workspaceModel.updates.count,1736231585510000000,1736231645522000000,4
workspaceModel.replace.project.model.ms,1736231585510000000,1736231645522000000,726
workspaceModel.cachedValue.from.cache.count,1736231585510000000,1736231645522000000,3041
workspaceModel.updates.ms,1736231585510000000,1736231645522000000,170
workspaceModel.workspaceFileIndexData.getPackageName.ms,1736231585510000000,1736231645522000000,1
workspaceModel.to.snapshot.ms,1736231585510000000,1736231645522000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1736231585510000000,1736231645522000000,0
workspaceModel.loading.from.cache.ms,1736231585510000000,1736231645522000000,6
workspaceModel.entityStorageSnapshotImpl.instances.count,1736231585510000000,1736231645522000000,31
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1736231585510000000,1736231645522000000,4
workspaceModel.init.bridges.ms,1736231585510000000,1736231645522000000,25
workspaceModel.update.unloaded.entities.ms,1736231585510000000,1736231645522000000,0
workspaceModel.full.replace.project.model.ms,1736231585510000000,1736231645522000000,4
workspaceModel.check.recursive.update.ms,1736231585510000000,1736231645522000000,0
workspaceModel.initializing.ms,1736231585510000000,1736231645522000000,6
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1736231585510000000,1736231645522000000,640
workspaceModel.cachedValueWithParameters.calculated.count,1736231585510000000,1736231645522000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1736231585510000000,1736231645522000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1736231585510000000,1736231645522000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1736231585510000000,1736231645522000000,0
workspaceModel.cachedValue.total.get.count,1736231585510000000,1736231645522000000,3312
workspaceModel.collect.changes.ms,1736231585510000000,1736231645522000000,0
workspaceModel.on.before.changed.ms,1736231585510000000,1736231645522000000,62
workspaceModel.loading.total.ms,1736231585510000000,1736231645522000000,11
workspaceModel.workspaceFileIndexData.instances.count,1736231585510000000,1736231645522000000,1
workspaceModel.updates.precise.ms,1736231585510000000,1736231645522000000,7
workspaceModel.cachedValueWithParameters.clear.count,1736231585510000000,1736231645522000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1736231585510000000,1736231645522000000,639
workspaceModel.workspaceFileIndexData.processFileSets.ms,1736231585510000000,1736231645522000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1736231585510000000,1736231645522000000,502
workspaceModel.workspaceFileIndexData.init.ms,1736231585510000000,1736231645522000000,4
workspaceModel.on.changed.ms,1736231585510000000,1736231645522000000,161
workspaceModel.workspaceFileIndexData.markDirty.ms,1736231585510000000,1736231645522000000,0
workspaceModel.cachedValue.clear.count,1736231585510000000,1736231645522000000,5
workspaceModel.pre.handlers.ms,1736231585510000000,1736231645522000000,1
cacheStateStorage.set.counter,1736231585510000000,1736231645522000000,6
cacheStateStorage.get.duration,1736231585510000000,1736231645522000000,115
cacheStateStorage.get.counter,1736231585510000000,1736231645522000000,713
cacheStateStorage.set.duration,1736231585510000000,1736231645522000000,58
FilePageCacheLockFree.totalPagesReadMs,1736231585510000000,1736231645522000000,0
DirectByteBufferAllocator.disposed,1736231585510000000,1736231645522000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1736231585510000000,1736231645522000000,0
FilePageCacheLockFree.heapBytesInUse,1736231585510000000,1736231645522000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1736231585510000000,1736231645522000000,445856
FilePageCache.totalPageDisposalsUs,1736231585510000000,1736231645522000000,1924
StorageLockContext.competingThreads.90P,1736231585510000000,1736231645522000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1736231585510000000,1736231645522000000,0
