# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.on.before.changed.ms,1736405600651000000,1736405619045000000,36
workspaceModel.on.changed.ms,1736405600651000000,1736405619045000000,56
workspaceModel.init.bridges.ms,1736405600651000000,1736405619045000000,46
workspaceModel.loading.total.ms,1736405600651000000,1736405619045000000,316
workspaceModel.cachedValueWithParameters.from.cache.count,1736405600651000000,1736405619045000000,0
workspaceModel.check.recursive.update.ms,1736405600651000000,1736405619045000000,3
workspaceModel.collect.changes.ms,1736405600651000000,1736405619045000000,1
workspaceModel.workspaceFileIndexData.instances.count,1736405600651000000,1736405619045000000,1
workspaceModel.update.unloaded.entities.ms,1736405600651000000,1736405619045000000,0
workspaceModel.cachedValue.calculated.count,1736405600651000000,1736405619045000000,494
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1736405600651000000,1736405619045000000,0
workspaceModel.workspaceFileIndexData.init.ms,1736405600651000000,1736405619045000000,224
workspaceModel.loading.from.cache.ms,1736405600651000000,1736405619045000000,302
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1736405600651000000,1736405619045000000,438
workspaceModel.workspaceFileIndexData.processFileSets.ms,1736405600651000000,1736405619045000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1736405600651000000,1736405619045000000,2844
workspaceModel.updates.count,1736405600651000000,1736405619045000000,5
workspaceModel.cachedValueWithParameters.calculated.count,1736405600651000000,1736405619045000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1736405600651000000,1736405619045000000,2
workspaceModel.updates.ms,1736405600651000000,1736405619045000000,165
workspaceModel.to.snapshot.ms,1736405600651000000,1736405619045000000,1
workspaceModel.cachedValue.total.get.count,1736405600651000000,1736405619045000000,6591
workspaceModel.cachedValueWithParameters.clear.count,1736405600651000000,1736405619045000000,0
workspaceModel.initializing.ms,1736405600651000000,1736405619045000000,46
workspaceModel.workspaceFileIndexData.getPackageName.ms,1736405600651000000,1736405619045000000,0
workspaceModel.pre.handlers.ms,1736405600651000000,1736405619045000000,1
workspaceModel.cachedValue.clear.count,1736405600651000000,1736405619045000000,1
workspaceModel.full.replace.project.model.ms,1736405600651000000,1736405619045000000,3
workspaceModel.updates.precise.ms,1736405600651000000,1736405619045000000,22
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1736405600651000000,1736405619045000000,1
workspaceModel.workspaceFileIndexData.markDirty.ms,1736405600651000000,1736405619045000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1736405600651000000,1736405619045000000,0
workspaceModel.cachedValue.from.cache.count,1736405600651000000,1736405619045000000,6097
workspaceModel.replace.project.model.ms,1736405600651000000,1736405619045000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1736405600651000000,1736405619045000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1736405600651000000,1736405619045000000,20
Indexing.writer_3.totalTimeSpentWritingMs,1736405600651000000,1736405619045000000,0
Indexes.entries.lookupDurationAvgMs,1736405600651000000,1736405619045000000,6.5
Indexes.stubs.lookupDuration90PMs,1736405600651000000,1736405619045000000,0.0
Indexing.cache.totalCacheAccesses,1736405600651000000,1736405619045000000,0
Indexes.stubs.lookupDurationMaxMs,1736405600651000000,1736405619045000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1736405600651000000,1736405619045000000,0
Indexing.writesQueuedAvg,1736405600651000000,1736405619045000000,0.0
Indexes.stubs.lookups,1736405600651000000,1736405619045000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1736405600651000000,1736405619045000000,0
Indexes.allKeys.lookups,1736405600651000000,1736405619045000000,0
Indexes.entries.lookupDurationMaxMs,1736405600651000000,1736405619045000000,7.0
Indexing.writesQueuedMin,1736405600651000000,1736405619045000000,0
Indexes.allKeys.lookupDurationMaxMs,1736405600651000000,1736405619045000000,0.0
Indexing.cache.totalCacheMisses,1736405600651000000,1736405619045000000,0
Indexing.writesQueuedMax,1736405600651000000,1736405619045000000,0
Indexes.entries.lookupDuration90PMs,1736405600651000000,1736405619045000000,7.0
Indexing.writer_1.totalTimeSpentWritingMs,1736405600651000000,1736405619045000000,0
Indexing.totalTimeIndexersSleptMs,1736405600651000000,1736405619045000000,0
Indexes.stubs.lookupDurationAvgMs,1736405600651000000,1736405619045000000,0.0
Indexes.entries.lookups,1736405600651000000,1736405619045000000,2
Indexes.allKeys.lookupDuration90PMs,1736405600651000000,1736405619045000000,0.0
Indexing.cache.totalCacheEvicted,1736405600651000000,1736405619045000000,0
Indexes.allKeys.lookupDurationAvgMs,1736405600651000000,1736405619045000000,0.0
writeAction.count,1736405600651000000,1736405619045000000,12
writeAction.wait.ms,1736405600651000000,1736405619045000000,14
DiskQueryRelay.taskWaitingTotalTimeUs,1736405600651000000,1736405619045000000,345021
writeAction.max.wait.ms,1736405600651000000,1736405619045000000,11
DiskQueryRelay.tasksExecuted,1736405600651000000,1736405619045000000,1263
DiskQueryRelay.tasksRequested,1736405600651000000,1736405619045000000,1263
DiskQueryRelay.taskExecutionTotalTimeUs,1736405600651000000,1736405619045000000,168114
writeAction.median.wait.ms,1736405600651000000,1736405619045000000,0
workspaceModel.mutableEntityStorage.entities.ms,1736405600651000000,1736405619045000000,1
workspaceModel.mutableEntityStorage.instances.count,1736405600651000000,1736405619045000000,35
workspaceModel.orphan.listener.update.ms,1736405600651000000,1736405619045000000,3
workspaceModel.mutableEntityStorage.replace.by.source.ms,1736405600651000000,1736405619045000000,71
workspaceModel.load.cache.from.file.ms,1736405600651000000,1736405619045000000,293
workspaceModel.sync.entities.ms,1736405600651000000,1736405619045000000,0
jps.module.iml.entities.serializer.save.entities.ms,1736405600651000000,1736405619045000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1736405600651000000,1736405619045000000,30
jps.artifact.entities.serializer.save.entities.ms,1736405600651000000,1736405619045000000,0
workspaceModel.global.updates.count,1736405600651000000,1736405619045000000,0
workspaceModel.load.cache.metadata.from.file.ms,1736405600651000000,1736405619045000000,31
jps.reload.project.entities.ms,1736405600651000000,1736405619045000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1736405600651000000,1736405619045000000,5199
jps.artifact.entities.serializer.load.entities.ms,1736405600651000000,1736405619045000000,2
jps.facet.change.listener.init.bridge.ms,1736405600651000000,1736405619045000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1736405600651000000,1736405619045000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1736405600651000000,1736405619045000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1736405600651000000,1736405619045000000,1
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1736405600651000000,1736405619045000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1736405600651000000,1736405619045000000,25
workspaceModel.moduleBridgeLoader.loading.modules.ms,1736405600651000000,1736405619045000000,631
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1736405600651000000,1736405619045000000,0
jps.load.project.to.empty.storage.ms,1736405600651000000,1736405619045000000,284
workspaceModel.do.save.caches.ms,1736405600651000000,1736405619045000000,302
jps.app.storage.content.reader.load.component.ms,1736405600651000000,1736405619045000000,1
jps.global.initialize.library.bridges.ms,1736405600651000000,1736405619045000000,37
