# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeMaxNs,1736239154588000000,1736239214609000000,0
NonBlockingReadAction.finalizedExecutionsCount,1736239154588000000,1736239214609000000,73
FlushQueue.waitingTimeAvgNs,1736239154588000000,1736239214609000000,0.0
NonBlockingReadAction.finalizedExecutionTimeUs,1736239154588000000,1736239214609000000,1124156
NonBlockingReadAction.failedExecutionsCount,1736239154588000000,1736239214609000000,1
FlushQueue.queueSizeAvg,1736239154588000000,1736239214609000000,0.0
FlushQueue.waitingTime90PNs,1736239154588000000,1736239214609000000,0
AWTEventQueue.dispatchTime90PNs,1736239154588000000,1736239214609000000,0
FlushQueue.waitingTimeMaxNs,1736239154588000000,1736239214609000000,0
FlushQueue.executionTimeMaxNs,1736239154588000000,1736239214609000000,0
jps.load.project.to.empty.storage.ms,1736239154588000000,1736239214609000000,40
jps.app.storage.content.writer.save.component.ms,1736239154588000000,1736239214609000000,2
jps.global.initialize.library.bridges.after.loading.ms,1736239154588000000,1736239214609000000,2
workspaceModel.sync.entities.ms,1736239154588000000,1736239214609000000,0
workspaceModel.global.updates.count,1736239154588000000,1736239214609000000,0
jps.apply.loaded.storage.ms,1736239154588000000,1736239214609000000,78
workspaceModel.mutableEntityStorage.remove.entity.ms,1736239154588000000,1736239214609000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1736239154588000000,1736239214609000000,2
jps.artifact.entities.serializer.save.entities.ms,1736239154588000000,1736239214609000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1736239154588000000,1736239214609000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1736239154588000000,1736239214609000000,3
workspaceModel.delayed.project.synchronizer.sync.ms,1736239154588000000,1736239214609000000,122
workspaceModel.save.cache.to.file.ms,1736239154588000000,1736239214609000000,285
jps.artifact.entities.serializer.load.entities.ms,1736239154588000000,1736239214609000000,1
jps.facet.change.listener.init.bridge.ms,1736239154588000000,1736239214609000000,1
jps.library.entities.serializer.load.entities.ms,1736239154588000000,1736239214609000000,2
jps.save.global.entities.ms,1736239154588000000,1736239214609000000,77
workspaceModel.load.cache.metadata.from.file.ms,1736239154588000000,1736239214609000000,15
jps.storage.jps.conf.reader.load.component.ms,1736239154588000000,1736239214609000000,5
jps.project.serializers.save.ms,1736239154588000000,1736239214609000000,0
jps.global.get.library.by.name.ms,1736239154588000000,1736239214609000000,0
jps.load.initial.state.ms,1736239154588000000,1736239214609000000,25
jps.global.handle.before.change.events.ms,1736239154588000000,1736239214609000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1736239154588000000,1736239214609000000,0
jps.global.initialize.library.bridges.ms,1736239154588000000,1736239214609000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1736239154588000000,1736239214609000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1736239154588000000,1736239214609000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1736239154588000000,1736239214609000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1736239154588000000,1736239214609000000,125
jps.facet.change.listener.process.change.events.ms,1736239154588000000,1736239214609000000,3
workspaceModel.mutableEntityStorage.collect.changes.ms,1736239154588000000,1736239214609000000,5
jps.global.get.libraries.ms,1736239154588000000,1736239214609000000,1
workspaceModel.mutableEntityStorage.resolve.ms,1736239154588000000,1736239214609000000,2
workspaceModel.moduleManagerBridge.create.module.instance.ms,1736239154588000000,1736239214609000000,0
jps.project.serializers.load.ms,1736239154588000000,1736239214609000000,16
workspaceModel.mutableEntityStorage.put.entity.ms,1736239154588000000,1736239214609000000,29
workspaceModel.mutableEntityStorage.entities.by.source.ms,1736239154588000000,1736239214609000000,3
workspaceModel.moduleBridgeLoader.loading.modules.ms,1736239154588000000,1736239214609000000,446
jps.library.entities.serializer.save.entities.ms,1736239154588000000,1736239214609000000,0
jps.facet.change.listener.before.change.events.ms,1736239154588000000,1736239214609000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1736239154588000000,1736239214609000000,2
workspaceModel.moduleBridge.facet.initialization.ms,1736239154588000000,1736239214609000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1736239154588000000,1736239214609000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1736239154588000000,1736239214609000000,0
workspaceModel.moduleBridge.update.option.ms,1736239154588000000,1736239214609000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1736239154588000000,1736239214609000000,13
workspaceModel.mutableEntityStorage.has.same.entities.ms,1736239154588000000,1736239214609000000,5
workspaceModel.do.save.caches.ms,1736239154588000000,1736239214609000000,332
workspaceModel.moduleManagerBridge.build.module.graph.ms,1736239154588000000,1736239214609000000,2
jps.app.storage.content.reader.load.component.ms,1736239154588000000,1736239214609000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1736239154588000000,1736239214609000000,3
workspaceModel.global.apply.state.to.project.ms,1736239154588000000,1736239214609000000,4
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1736239154588000000,1736239214609000000,0
workspaceModel.mutableEntityStorage.entities.ms,1736239154588000000,1736239214609000000,5
workspaceModel.load.cache.from.file.ms,1736239154588000000,1736239214609000000,181
workspaceModel.global.updates.ms,1736239154588000000,1736239214609000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1736239154588000000,1736239214609000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1736239154588000000,1736239214609000000,2
workspaceModel.mutableEntityStorage.add.entity.ms,1736239154588000000,1736239214609000000,95
workspaceModel.moduleBridge.before.changed.ms,1736239154588000000,1736239214609000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1736239154588000000,1736239214609000000,214
workspaceModel.mutableEntityStorage.referrers.ms,1736239154588000000,1736239214609000000,0
jps.global.get.library.ms,1736239154588000000,1736239214609000000,0
jps.global.handle.changed.events.ms,1736239154588000000,1736239214609000000,0
jps.save.changed.project.entities.ms,1736239154588000000,1736239214609000000,0
workspaceModel.mutableEntityStorage.instances.count,1736239154588000000,1736239214609000000,35
jps.reload.project.entities.ms,1736239154588000000,1736239214609000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1736239154588000000,1736239214609000000,80
workspaceModel.orphan.listener.update.ms,1736239154588000000,1736239214609000000,2
FileNameCache.totalMisses,1736239154588000000,1736239214609000000,182976
VFS.fileByIdCache.hits,1736239154588000000,1736239214609000000,0
VFS.contentStorage.recordsReadDecompressed,1736239154588000000,1736239214609000000,34
VFS.contentStorage.recordsDeduplicated,1736239154588000000,1736239214609000000,0
VFS.contentStorage.recordsReadSize,1736239154588000000,1736239214609000000,1128917
VFS.contentStorage.recordsStoredSize,1736239154588000000,1736239214609000000,1327
VFS.contentStorage.recordsUncompressedSize,1736239154588000000,1736239214609000000,1327
VFS.invertedFileNameIndex.requests,1736239154588000000,1736239214609000000,20
VFS.fileChildByName,1736239154588000000,1736239214609000000,39220
FileNameCache.queries,1736239154588000000,1736239214609000000,3178944
VFS.fileByIdCache.misses,1736239154588000000,1736239214609000000,2637
VFS.contentStorage.recordsStoredCompressed,1736239154588000000,1736239214609000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1736239154588000000,1736239214609000000,17881
VFS.contentStorage.recordsRead,1736239154588000000,1736239214609000000,131
VFS.contentStorage.recordsStored,1736239154588000000,1736239214609000000,2
compiler.ArtifactManagerBridge.commit.ms,1736239154588000000,1736239214609000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1736239154588000000,1736239214609000000,1
compiler.ArtifactManagerBridge.addArtifact.ms,1736239154588000000,1736239214609000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1736239154588000000,1736239214609000000,4
compiler.ArtifactManagerBridge.dropMappings.ms,1736239154588000000,1736239214609000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1736239154588000000,1736239214609000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1736239154588000000,1736239214609000000,0
